2020x,2020y,2010x,2010y,2000x,2000y
-0.968328,0.897377,-0.977097,0.897377,-0.968083,0.897377
-0.564227,0.889091,-0.582601,0.889091,-0.563655,0.889091
-0.561518,0.677729,-0.579097,0.677249,-0.565644,0.684329
-0.762949,0.890380,-0.780282,0.890388,-0.766166,0.895896
-0.857685,0.889575,-0.871728,0.889575,-0.856735,0.889575
-0.947193,0.898128,-0.96517,0.898128,-0.947046,0.898128
-0.789916,0.893305,-0.807469,0.893305,-0.790638,0.893305
-10.02734,0.697057,-10.03406,0.697057,-10.02712,0.697057
-10.02633,0.897892,-10.03787,0.897892,-10.02241,0.897892
-0.879607,0.846508,-0.89528,0.84736,-0.880974,0.872731
-0.802302,0.899643,-0.819277,0.899734,-0.80412,0.900000
-0.879557,0.900000,-0.896948,0.900000,-0.877952,0.900000
-10.04992,0.898558,-10.05999,0.898558,-10.04808,0.898558
-0.962303,0.897571,-0.972003,0.897571,-0.961274,0.897571
-0.786707,0.880249,-0.804579,0.880546,-0.789689,0.881041
-0.748736,0.897317,-0.775593,0.897317,-0.749034,0.897317
-0.637357,0.894791,-0.651523,0.894791,-0.633021,0.894791
-0.848291,0.758881,-0.865341,0.759266,-0.850748,0.759147
-0.857843,0.857712,-0.869239,0.857668,-0.859287,0.877742
-0.725981,0.891569,-0.738793,0.890790,-0.726617,0.892577
-0.583501,0.998744,-0.595327,0.998744,-0.577522,0.998744
-0.658569,0.791924,-0.676676,0.791924,-0.65813,0.791924
-0.784535,0.782237,-0.795025,0.782237,-0.784024,0.782237
-10.24666,0.643062,-10.25807,0.643062,-10.24238,0.643062
-0.705041,0.894538,-0.718776,0.894538,-0.703134,0.894538
-0.862614,0.900000,-0.893107,0.900000,-0.859412,0.900000
-0.970994,0.894328,-10.02058,0.894328,-0.963106,0.894328
-0.73511,0.899360,-0.749933,0.899360,-0.725719,0.899360
-0.668709,0.890799,-0.68211,0.890799,-0.666912,0.890799
-0.687502,0.77437,-0.704581,0.77437,-0.680422,0.77437
-0.685159,0.986559,-0.697268,0.986559,-0.678572,0.986559
-0.880584,0.900000,-0.893077,0.900000,-0.879939,0.900000
-0.850008,0.899551,-0.858076,0.899551,-0.846499,0.899551
-10.0457,0.688773,-10.06057,0.688773,-10.04444,0.688773
-0.86077,0.966664,-0.873211,0.966664,-0.857064,0.966664
-0.809088,0.898890,-0.812276,0.898890,-0.80605,0.898890
-0.987917,0.885075,-10.00116,0.885075,-0.985898,0.885075
-0.889468,0.893746,-0.922883,0.893746,-0.882989,0.893746
-0.8142,0.898536,-0.830189,0.898536,-0.813273,0.898536
-0.642471,0.900000,-0.65693,0.900000,-0.636419,0.900000
-0.744373,0.897645,-0.765647,0.897645,-0.737202,0.897645
-0.988416,0.900000,-10.00659,0.900000,-0.972459,0.900000
-0.860917,0.891538,-0.876643,0.891538,-0.851261,0.891538
-0.732076,0.898587,-0.747868,0.898587,-0.7161,0.898587
-0.915719,0.898154,-0.93032,0.898154,-0.906549,0.898154
-0.765421,0.899135,-0.788918,0.899135,-0.757022,0.899135
-0.760711,0.899791,-0.777974,0.899794,-0.741276,0.899807
-0.764929,0.889392,-0.759756,0.889392,-0.76086,0.889392
-0.904947,0.894697,-0.979851,0.894697,-0.878304,0.894697
-0.895923,0.885081,-0.911953,0.885081,-0.892114,0.885081
-0.966994,0.900000,-10.01067,0.900000,-0.955495,0.900000
-0.857086,0.898632,-0.915723,0.898632,-0.84065,0.898632
-0.562289,0.685857,-0.572936,0.685857,-0.555555,0.685857
-0.803049,0.900000,-0.828857,0.900000,-0.793555,0.900000
-0.68135,0.890116,-0.686231,0.890116,-0.675912,0.890116
-0.683039,0.889924,-0.698627,0.889924,-0.670539,0.889924
-0.876989,0.895903,-0.870583,0.895903,-0.872565,0.895903
-0.807641,0.788318,-0.793182,0.797114,-0.802741,0.797114
-0.773566,0.899103,-0.78387,0.899103,-0.766095,0.899103
-0.913415,0.874860,-0.931055,0.874860,-0.904187,0.874860
-0.697159,0.892515,-0.710871,0.892515,-0.687224,0.892515
-0.950164,0.881928,-0.936592,0.881930,-0.945015,0.881972
